codIBGE,nomeSidra,ano,populacaoTotal,semInstrucao,fundamentalIncompleto,fundamentalCompleto,medioIncompleto,medioCompleto,superiorIncompleto,superiorCompleto,naoDeterminado,pctEnsinoMedioOuMais
1100205,Porto Velho,2012,453.0,36.75,152.5,41.0,28.5,98.75,22.5,33.5,,34.16
1100205,Porto Velho,2013,460.25,39.0,148.25,47.0,28.25,103.25,21.75,33.0,,34.33
1100205,Porto Velho,2014,467.5,35.25,156.25,46.75,29.25,107.25,20.75,34.75,,34.81
1100205,Porto Velho,2015,474.25,34.25,155.25,41.0,30.5,111.25,23.5,39.0,,36.64
1100205,Porto Velho,2016,480.5,41.25,150.75,37.75,27.75,110.5,22.0,48.25,,37.62
1100205,Porto Velho,2017,486.0,33.25,156.75,33.75,35.0,111.5,25.0,50.5,,38.48
1100205,Porto Velho,2018,491.5,27.5,154.0,29.75,35.5,119.75,29.5,55.25,,41.61
1100205,Porto Velho,2019,496.5,27.75,144.25,32.0,40.0,123.75,29.5,60.75,,43.1
1100205,Porto Velho,2020,499.0,31.0,157.0,34.0,36.0,117.0,27.0,56.0,,40.08
1100205,Porto Velho,2022,509.0,40.666666666666664,144.66666666666666,27.333333333333332,39.0,138.0,21.666666666666668,63.666666666666664,,43.88
1200401,Rio Branco,2012,360.5,37.5,111.5,38.5,20.0,72.25,15.75,32.5,,33.43
1200401,Rio Branco,2013,364.5,36.75,112.25,38.25,23.0,70.75,18.75,32.25,,33.4
1200401,Rio Branco,2014,367.5,32.0,113.5,37.0,23.75,74.0,21.25,32.5,,34.76
1200401,Rio Branco,2015,370.75,36.25,110.75,37.75,21.75,74.5,21.5,35.25,,35.4
1200401,Rio Branco,2016,373.75,32.75,113.0,32.5,23.25,79.25,21.75,39.25,,37.53
1200401,Rio Branco,2017,376.0,32.25,113.25,30.5,24.5,81.0,23.5,41.25,,38.76
1200401,Rio Branco,2018,378.5,28.5,112.25,28.75,24.0,83.0,22.75,46.0,,40.09
1200401,Rio Branco,2019,380.5,29.75,111.0,28.5,24.75,83.75,21.75,50.75,,41.06
1200401,Rio Branco,2020,382.0,30.0,106.0,29.0,28.0,88.0,21.0,50.0,,41.62
1200401,Rio Branco,2022,386.0,31.666666666666668,105.33333333333333,24.0,28.333333333333332,87.33333333333333,21.0,59.333333333333336,,43.44
1302603,Manaus,2012,1921.0,118.5,626.75,142.5,124.25,500.75,96.5,134.0,,38.07
1302603,Manaus,2013,1957.25,110.5,615.75,147.75,122.25,517.25,105.0,151.75,,39.55
1302603,Manaus,2014,1992.0,118.5,627.5,141.75,130.0,522.75,105.0,160.75,,39.58
1302603,Manaus,2015,2025.75,133.25,592.75,163.75,119.5,545.25,105.25,177.25,,40.86
1302603,Manaus,2016,2059.0,131.5,566.0,156.5,131.0,569.0,108.0,208.5,,43.01
1302603,Manaus,2017,2090.25,126.0,574.0,133.25,138.25,585.75,126.0,226.5,,44.89
1302603,Manaus,2018,2121.0,115.0,571.5,129.75,139.5,608.25,134.75,259.5,,47.27
1302603,Manaus,2019,2150.5,110.25,548.5,129.5,137.75,615.75,146.0,287.25,,48.78
1302603,Manaus,2020,2169.0,108.0,537.0,130.0,139.0,653.0,153.0,288.0,,50.44
1302603,Manaus,2022,2236.6666666666665,126.66666666666667,544.0,127.66666666666667,132.33333333333334,681.6666666666666,136.66666666666666,313.6666666666667,,50.61
1400100,Boa Vista,2012,311.0,20.25,91.0,25.75,20.0,74.0,18.75,29.0,,39.15
